ID,Штрихкод,Бренд,Название,Категория,Размер,Цвет,L1,💰 Стоимость,🔵 Артикул Ozon,🟣 Артикул WB,🟣 nm_id,🟡 Остаток сайт (109 / 240),🟣 Остаток WB (129 / 161 / 240),🔵 Остаток Ozon (98 / 143 / 240),📊 Общий остаток,🟣 Заказы WB 14д,🟣 Заказы WB 28д,🟣 Заказы WB 40д,🔵 Заказы Ozon 14д,🔵 Заказы Ozon 28д,🔵 Заказы Ozon 40д,📊 Всего заказов 14д,📊 Всего заказов 28д,📊 Всего заказов 40д,🟣 Выкупы WB 14д (T-21..-7),🔵 Выкупы Ozon 14д (T-21..-7),📊 % выкупа 14д,🟣 Выручка WB 28д,🔵 Выручка Ozon 28д,📊 Общая выручка 28д,🟣 Ср.выручка WB 28д,🔵 Ср.выручка Ozon 28д,📊 Ср.выручка общая 28д,🟣 Ср.доход WB / шт. 28д,🔵 Ср.доход Ozon / шт. 28д,🟣 Сумм.доход WB 28д,🔵 Сумм.доход Ozon 28д,📋 План закупок (14д на 30д),📋 План закупок (28д на 30д),💰 Стоимость закупки L1 (14д на 30д),💰 Стоимость закупки не L1 (14д на 30д),💰 Стоимость закупки L1 (28д на 30д),💰 Стоимость закупки не L1 (28д на 30д),📦 Приедут L1,📦 Приедут NoL,📊 Расчетный (14д на 30д),📊 Расчетный (28д на 30д),💰 Капитализация склада,💰 Себестоимость склада,📈 Индекс склада (14д),📈 Индекс капитализации,📈 Коэф.доходности,🏷️ Ярлыки,🟣 Динамика WB,🔵 Динамика Ozon,📊 Динамика общая,🟣 Доля WB 28д,🔵 Доля Ozon 28д,🟣 Выкупы WB,🔵 Выкупы Ozon,📊 Выкупы общие,🏢 Центральные склады,🏢 ТОП-3 склады,🟣📦 Остатки Центральный,🟣📦 Остатки Южный + Северо-Кавказский,🟣📦 Остатки Северо-Западный,🟣📦 Остатки Приволжский,🟣📦 Остатки Уральский,🟣📦 Остатки Дальневосточный + Сибирский,"🔵📦 Остатки Москва, МО и Дальние регионы",🔵📦 Остатки Санкт-Петербург и СЗО,🔵📦 Остатки Ростов,🔵📦 Остатки Казань,🔵📦 Остатки Новосибирск,🔵📦 Остатки Краснодар,🔵📦 Остатки Воронеж,🔵📦 Остатки Самара
553,2042109176291,MSH,Сережки «Эстелла»,Серьги,—,Зол,Нет,210,MSH-074,MSH-074,295472771,1,7,9,17,0,1,1,0,0,0,0,1,1,1,0,0,1 475,0,1 475,1 475,0,1 475,264,0,264,0,1,1,0,0,0,0,0,0,0,0,13 690,3 570,17,"9,28","1,22","LST,⚡️FBO",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟡,3,2,2,0,0,0,7,0,0,0,0,1,1,0
563,2037774221230,DSS,Сережки ассиметричные «Клешня»,Серьги,—,Зол,Да,535,D301,D301DSR115,Пусто,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2 970,0,2 970,2 970,0,2 970,520,0,520,0,0,-1,2 675,0,3 210,0,0,0,5,6,0,0,0,0,"1,21","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2037853422695,DSS,Браслет «Листья»,Браслет,15,Зол,Да,516,D300,D220DR011,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 580,0,2 580,0,0,0,5,5,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2039500963148,MSH,Браслет «Сальма»,Браслет,14-20,Зол,Нет,302,MSHK-043,MSHK-043,209855977,3,19,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,💤,💤,7 248,7 248,24,0,0,"LST,🏠FBS,SLEEP",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🟡,16,3,0,0,0,0,0,2,0,0,0,0,0,0
10,2029020044625,DSS,Брошь «Цветок»,Броши,—,Зол,Да,400,D171,D171DB001,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 000,0,2 000,0,0,0,5,5,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2043836227690,MSH,Колье «Любовные истории»,Колье,37-42,Сер,Нет,365,MSH-098,MSH-098,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 555,0,2 555,0,0,7,7,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2037853313054,DSS,Колье «Синди»,Колье,41,Зол,Нет,170,D309,D184DKLE011,161488120,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 190,0,1 190,0,0,7,7,510,510,3,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,1,1,0,0,1,0,0,0,0,0,0,0,0,0
51,2039777982255,MSH,Кольцо «Дебора»,Кольца,17,Зол,Нет,329,MSHK-060,MSHK-042,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 303,0,2 303,0,0,7,7,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2039777363351,MSH,Кольцо «Дебора»,Кольца,18,Зол,Нет,329,MSHK-061,MSHK-042,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 303,0,2 303,0,0,7,7,0,0,0,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2039460062264,DSS,Кольцо «Джейн»,Кольца,16.5,Зол,Да,159,D391,D155DKLC125,Пусто,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SZ,LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
