ID,Штрихкод,Бренд,Название,Категория,Размер,Цвет,L1,💰 Стоимость,🔵 Артикул Ozon,🟣 Артикул WB,🟣 nm_id,🟡 Остаток сайт (101 / 240),🟣 Остаток WB (132 / 161 / 240),🔵 Остаток Ozon (94 / 146 / 240),📊 Общий остаток,🟣 Заказы WB 14д,🟣 Заказы WB 28д,🟣 Заказы WB 40д,🔵 Заказы Ozon 14д,🔵 Заказы Ozon 28д,🔵 Заказы Ozon 40д,📊 Всего заказов 14д,📊 Всего заказов 28д,📊 Всего заказов 40д,🟣 Выкупы WB 14д (T-21..-7),🔵 Выкупы Ozon 14д (T-21..-7),📊 % выкупа 14д,🟣 Выручка WB 28д,🔵 Выручка Ozon 28д,📊 Общая выручка 28д,🟣 Ср.выручка WB 28д,🔵 Ср.выручка Ozon 28д,📊 Ср.выручка общая 28д,🟣 Ср.доход WB / шт. 28д,🔵 Ср.доход Ozon / шт. 28д,🟣 Сумм.доход WB 28д,🔵 Сумм.доход Ozon 28д,📋 План закупок (14д на 30д),📋 План закупок (28д на 30д),💰 Стоимость закупки L1 (14д на 30д),💰 Стоимость закупки не L1 (14д на 30д),💰 Стоимость закупки L1 (28д на 30д),💰 Стоимость закупки не L1 (28д на 30д),📦 Приедут L1,📦 Приедут NoL,📊 Расчетный (14д на 30д),📊 Расчетный (28д на 30д),💰 Капитализация склада,💰 Себестоимость склада,📈 Индекс склада (14д),📈 Индекс капитализации,📈 Коэф.доходности,🏷️ Ярлыки,🟣 Динамика WB,🔵 Динамика Ozon,📊 Динамика общая,🟣 Доля WB 28д,🔵 Доля Ozon 28д,🟣 Выкупы WB,🔵 Выкупы Ozon,📊 Выкупы общие,🏢 Центральные склады,🏢 ТОП-3 склады,🟣📦 Остатки Центральный,🟣📦 Остатки Южный + Северо-Кавказский,🟣📦 Остатки Северо-Западный,🟣📦 Остатки Приволжский,🟣📦 Остатки Уральский,🟣📦 Остатки Дальневосточный + Сибирский,"🔵📦 Остатки Москва, МО и Дальние регионы",🔵📦 Остатки Санкт-Петербург и СЗО,🔵📦 Остатки Ростов,🔵📦 Остатки Казань,🔵📦 Остатки Новосибирск,🔵📦 Остатки Краснодар,🔵📦 Остатки Воронеж,🔵📦 Остатки Самара
499,2042109272764,MSH,Сережки «Сабрина»,Серьги,—,Сир,Нет,80,MSH-083,MSH-083,295478632,3,6,7,16,2,2,2,0,0,0,2,2,2,0,0,0,2 270,0,2 270,1 135,0,1 135,261,0,523,0,3,3,0,0,0,0,0,0,0,0,10 775,1 280,8,"4,75","1,3","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟡,1,2,1,1,1,0,2,0,0,0,2,0,0,0
505,2039500932656,MSH,Сережки «Сильвия»,Серьги,—,Зол,Нет,302,MSHK-036,MSHK-036,209854789,0,7,0,7,0,0,1,0,1,1,0,1,2,0,0,0,0,1 337,1 337,0,1 337,1 337,0,-45,0,-45,0,-1,0,2 114,0,2 416,0,0,7,8,2 114,2 114,7,"1,58","0,97","LST,⚡️FBO",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,2,4,0,1,0,0,0,0,0,0,0,0,0,0
514,2038819575905,MSH,Сережки «Скелеты»,Серьги,—,Сер,Нет,121,MSH-023,MSH-023,183317065,3,1,2,6,1,1,1,0,1,1,1,2,2,0,1,100,1 295,1 347,2 642,1 295,1 347,1 321,283,139,283,139,2,3,0,0,0,0,0,0,0,0,7 874,726,6,"2,98","1,19","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,0,0,1,0,0,0,2,0,0,0,0,0,0,0
528,2043834953331,DSS,Сережки «Тропики»,Серьги,—,Зол,Да,671,D518,D518,403253740,1,6,4,11,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7 381,7 381,11,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟡,3,1,1,1,0,0,1,2,0,0,0,0,0,0
551,2039500932816,MSH,Сережки «Эмма»,Серьги,—,Сер,Нет,194,MSHK-056,MSHK-056,209854806,0,12,0,12,1,1,1,0,0,1,1,1,2,0,0,0,480,0,480,480,0,480,-107,0,-107,0,0,0,0,1 358,0,1 358,0,0,7,7,5 760,2 328,12,12,"0,82","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🟡,9,1,1,1,0,0,0,0,0,0,0,0,0,0
555,2039500932786,MSH,Сережки «Эстер»,Серьги,—,Зол,Нет,346,MSHK-053,MSHK-053,209854803,1,10,0,11,0,1,1,0,0,1,0,1,2,1,0,0,1 633,0,1 633,1 633,0,1 633,189,0,189,0,1,1,0,0,0,0,0,0,0,0,17 968,3 806,11,11,"1,13","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,3,2,0,2,2,0,0,0,0,0,0,0,0,0
27,2038819637450,MSH,Колье «Наоми»,Колье,40-45,Зол,Нет,128,MSHK-031,MSHK-031,183318192,3,19,2,24,0,1,1,0,0,0,0,1,1,1,0,0,644,0,644,644,0,644,22,0,22,0,3,3,0,0,0,0,0,0,0,0,14 424,3 072,24,"22,4","1,04","LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,🟡,11,3,3,0,1,0,1,0,1,0,0,0,0,0
39,2037853358185,DSS,Колье «Фрэнсис»,Колье,40-45,Зол,Нет,620,D311,D184DKLE013,161490844,4,1,0,5,0,0,0,0,1,1,0,1,1,0,1,0,0,2 475,2 475,0,2 475,2 475,0,2,0,2,4,3,0,0,0,0,0,0,0,0,3 100,3 100,5,"1,25",1,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🔴,🔴,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2037774363404,DSS,Кольцо «Джейн»,Кольца,16,Зол,Да,122,D312,D155DKLC125,163679510,0,7,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,610,0,0,0,5,5,854,854,7,0,0,"LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,3,0,1,1,2,0,0,0,0,0,0,0,0,0
59,2039460062295,DSS,Кольцо «Джейн»,Кольца,19,Зол,Да,122,D394,D155DKLC125,163679510,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,683,0,683,683,0,683,44,0,44,0,0,0,0,0,0,0,0,0,0,0,683,122,1,1,"1,07","SZ,LST,🏠FBS",⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟡,🔴,1,0,0,0,0,0,0,0,0,0,0,0,0,0
